Wavenumbers,Wine_01_Cab_Rep1,Wine_01_Cab_Rep2,Wine_01_Cab_Rep3,Wine_02_Cab_Rep1,Wine_02_Cab_Rep2,Wine_02_Cab_Rep3,Wine_03_Cab_Rep1,Wine_03_Cab_Rep2,Wine_03_Cab_Rep3,Wine_04_Cab_Rep1,Wine_04_Cab_Rep2,Wine_04_Cab_Rep3,Wine_05_Cab_Rep1,Wine_05_Cab_Rep2,Wine_05_Cab_Rep3,Wine_06_Cab_Rep1,Wine_06_Cab_Rep2,Wine_06_Cab_Rep3,Wine_07_Cab_Rep1,Wine_07_Cab_Rep2,Wine_07_Cab_Rep3,Wine_08_Cab_Rep1,Wine_08_Cab_Rep2,Wine_08_Cab_Rep3,Wine_09_Cab_Rep1,Wine_09_Cab_Rep2,Wine_09_Cab_Rep3,Wine_10_Cab_Rep1,Wine_10_Cab_Rep2,Wine_10_Cab_Rep3,Wine_11_Cab_Rep1,Wine_11_Cab_Rep2,Wine_11_Cab_Rep3,Wine_12_Cab_Rep1,Wine_12_Cab_Rep2,Wine_12_Cab_Rep3,Wine_13_Syr_Rep1,Wine_13_Syr_Rep2,Wine_13_Syr_Rep3,Wine_14_Syr_Rep1,Wine_14_Syr_Rep2,Wine_14_Syr_Rep3,Wine_15_Syr_Rep1,Wine_15_Syr_Rep2,Wine_15_Syr_Rep3,Wine_16_Syr_Rep1,Wine_16_Syr_Rep2,Wine_16_Syr_Rep3,Wine_17_Syr_Rep1,Wine_17_Syr_Rep2,Wine_17_Syr_Rep3,Wine_18_Syr_Rep1,Wine_18_Syr_Rep2,Wine_18_Syr_Rep3,Wine_19_Syr_Rep1,Wine_19_Syr_Rep2,Wine_19_Syr_Rep3,Wine_20_Syr_Rep1,Wine_20_Syr_Rep2,Wine_20_Syr_Rep3,Wine_21_Syr_Rep1,Wine_21_Syr_Rep2,Wine_21_Syr_Rep3,Wine_22_Syr_Rep1,Wine_22_Syr_Rep2,Wine_22_Syr_Rep3,Wine_23_Syr_Rep1,Wine_23_Syr_Rep2,Wine_23_Syr_Rep3,Wine_24_Syr_Rep1,Wine_24_Syr_Rep2,Wine_24_Syr_Rep3,Wine_25_Cab_Rep1,Wine_25_Cab_Rep2,Wine_25_Cab_Rep3,Wine_26_Cab_Rep1,Wine_26_Cab_Rep2,Wine_26_Cab_Rep3,Wine_27_Cab_Rep1,Wine_27_Cab_Rep2,Wine_27_Cab_Rep3,Wine_28_Cab_Rep1,Wine_28_Cab_Rep2,Wine_28_Cab_Rep3,Wine_29_Cab_Rep1,Wine_29_Cab_Rep2,Wine_29_Cab_Rep3,Wine_30_Cab_Rep1,Wine_30_Cab_Rep2,Wine_30_Cab_Rep3,Wine_31_Cab_Rep1,Wine_31_Cab_Rep2,Wine_31_Cab_Rep3,Wine_32_Syr_Rep1,Wine_32_Syr_Rep2,Wine_32_Syr_Rep3,Wine_33_Syr_Rep1,Wine_33_Syr_Rep2,Wine_33_Syr_Rep3,Wine_34_Syr_Rep1,Wine_34_Syr_Rep2,Wine_34_Syr_Rep3,Wine_35_Syr_Rep1,Wine_35_Syr_Rep2,Wine_35_Syr_Rep3,Wine_36_Syr_Rep1,Wine_36_Syr_Rep2,Wine_36_Syr_Rep3,Wine_37_Syr_Rep1,Wine_37_Syr_Rep2,Wine_37_Syr_Rep3
899.327,0.94091918,0.93968839,0.94107948,0.93791138,0.94018023,0.94076432,0.94117074,0.94045629,0.93986284,0.93151756,0.93176304,0.93139393,0.90988381,0.90886934,0.90993486,0.92942616,0.92819028,0.92867505,0.92337395,0.92551613,0.92474586,0.92370428,0.92558388,0.92421916,0.92041425,0.9208298,0.92070412,0.91965844,0.91917743,0.91953607,0.91743368,0.91708727,0.91568955,0.91222185,0.91180445,0.91071267,0.94096147,0.942565,0.94078565,0.93574338,0.93437115,0.93338032,0.92204516,0.92108998,0.92173579,0.9285977,0.9282464,0.924606,0.92558983,0.92571268,0.92395536,0.91983807,0.9202361,0.92075555,0.92252394,0.92261379,0.9234474,0.92233366,0.91984108,0.92133672,0.92078993,0.92035586,0.92019351,0.9194351,0.91825144,0.9185222,0.91550187,0.91212028,0.91235747,0.91786056,0.91781236,0.9170112,0.91027722,0.90516658,0.90805844,0.9257544,0.92549184,0.9230457,0.91383799,0.91457519,0.91369252,0.91549657,0.91649171,0.9167663,0.92093472,0.92062529,0.91917206,0.91655865,0.91963227,0.91763286,0.92814959,0.92181844,0.9193531,0.91590709,0.91543537,0.91591404,0.91465946,0.91164393,0.91298449,0.9141973,0.91588848,0.9123736,0.92471367,0.92531318,0.92586826,0.91922291,0.92104587,0.91948947,0.92209085,0.92554666,0.9228859
903.187,0.91103602,0.90973724,0.91113522,0.90756022,0.90998422,0.91051094,0.91136065,0.91070477,0.90980301,0.90187285,0.9020556,0.90166982,0.88103914,0.88046694,0.88143378,0.89972825,0.89840028,0.89890542,0.89403454,0.89568052,0.89562486,0.89440016,0.89580539,0.89492622,0.89130578,0.89128295,0.89129248,0.89094186,0.89065029,0.89068981,0.8886955,0.88821302,0.88698199,0.88334283,0.88299263,0.88213414,0.91077851,0.91266829,0.91091148,0.90656591,0.90501719,0.90373602,0.89215988,0.89159258,0.89219949,0.89924825,0.89894603,0.89538013,0.89650226,0.89681124,0.89470287,0.89069924,0.89088338,0.89153504,0.89364397,0.89333994,0.89402526,0.89285801,0.89047472,0.89232129,0.89184142,0.89133787,0.89127953,0.89045002,0.88961938,0.88970415,0.88655542,0.88354724,0.88370888,0.88876801,0.88955628,0.88819351,0.88185542,0.87683732,0.87940079,0.89641091,0.89638628,0.89406272,0.88490407,0.88553395,0.88472791,0.88680805,0.8877301,0.88803129,0.89212952,0.89166363,0.89005491,0.88729846,0.8901398,0.88850297,0.89878231,0.89244692,0.88953703,0.8873051,0.88665204,0.88717478,0.88546642,0.88300738,0.88393859,0.88504868,0.8864421,0.88347255,0.89562352,0.89593436,0.89636543,0.89043524,0.89139457,0.89024916,0.89264628,0.89641142,0.89372571
907.047,0.88383615,0.88272279,0.88382338,0.8805075,0.88261225,0.88302139,0.88409334,0.88357028,0.88282191,0.87476855,0.87485826,0.87469752,0.85512041,0.85490652,0.85542099,0.87281254,0.87145933,0.87225725,0.86757749,0.86893879,0.86908409,0.86733895,0.86893097,0.86822511,0.86506203,0.8648621,0.86477165,0.86472389,0.86469559,0.86452104,0.86300673,0.86221282,0.86096265,0.85779536,0.85755988,0.85660062,0.88305769,0.88543366,0.88366816,0.87969689,0.87832337,0.87671978,0.86567495,0.86517054,0.86578114,0.87263673,0.87250149,0.86848331,0.87004914,0.87025328,0.86813598,0.86426835,0.86431254,0.86473341,0.86720936,0.86718598,0.86789143,0.86653044,0.86393313,0.86596998,0.86552785,0.86493317,0.86501918,0.86459467,0.86322523,0.86351851,0.86044181,0.85775873,0.85800065,0.86260955,0.86303187,0.8621526,0.85573202,0.85097649,0.85327282,0.86971801,0.8701924,0.86776639,0.8586431,0.85905241,0.85867213,0.86072995,0.86171779,0.86179505,0.86604406,0.86569137,0.86350621,0.86118496,0.86339678,0.86233655,0.87219155,0.86590675,0.86289741,0.86120025,0.86064786,0.86113973,0.85912374,0.85700731,0.85801928,0.85890236,0.86011724,0.85720998,0.8693705,0.86960841,0.87017764,0.86408997,0.865085,0.86502439,0.86619204,0.86987365,0.86726419
910.907,0.85838209,0.85707898,0.8582939,0.8553392,0.85745797,0.85788159,0.85852364,0.85817447,0.85751162,0.8496987,0.85005111,0.85013964,0.83145749,0.83108595,0.83134832,0.84786747,0.84655766,0.84727244,0.8429306,0.8442913,0.84419982,0.84285203,0.8445564,0.84364874,0.84070104,0.84058858,0.84029742,0.8403757,0.84071954,0.84049127,0.83882758,0.83833102,0.83673021,0.83408947,0.83331167,0.83267967,0.85799117,0.85970516,0.8578196,0.85478917,0.8536923,0.85221078,0.84152588,0.84104961,0.84172573,0.84778671,0.84767043,0.843701,0.84565698,0.84576885,0.84391643,0.83975719,0.83975887,0.8402007,0.8428654,0.84277809,0.84364279,0.84200857,0.83963743,0.84143168,0.8412291,0.84033811,0.84077942,0.8402016,0.83878207,0.83912649,0.83633039,0.83356982,0.83372306,0.83865451,0.83840274,0.83832118,0.83175761,0.82697549,0.82929037,0.84579919,0.84544859,0.84361907,0.83456568,0.83498541,0.83451312,0.83669399,0.83756745,0.83772652,0.84191576,0.84128759,0.83908416,0.83681066,0.83919904,0.83824304,0.84755905,0.84137582,0.83916994,0.83693671,0.83666363,0.83726031,0.83530568,0.83271313,0.83387846,0.83459901,0.83588912,0.83290733,0.84530011,0.8457428,0.84618801,0.83950329,0.84095178,0.84097911,0.84213947,0.84528094,0.84293246
914.767,0.83442057,0.83278476,0.83419433,0.8313916,0.83336275,0.83390021,0.83465413,0.8339158,0.83348174,0.82617887,0.82682942,0.82656775,0.80928335,0.80869523,0.80910899,0.82465657,0.82335126,0.82381071,0.81975477,0.82131279,0.82085894,0.81988564,0.82140464,0.82080404,0.81744282,0.81752606,0.81732939,0.81749126,0.81775581,0.81787176,0.81615067,0.8155586,0.81417906,0.8114462,0.81060184,0.8102726,0.83435374,0.83542908,0.83379291,0.83157487,0.83064145,0.82956394,0.8190658,0.81845894,0.81930957,0.82457444,0.82448851,0.82068813,0.82289073,0.82278481,0.82115119,0.81669767,0.81671823,0.81759247,0.82000082,0.81986993,0.82081483,0.81900645,0.81654552,0.81866446,0.81854925,0.8177154,0.81800844,0.8170426,0.81578915,0.81644303,0.81359824,0.81085539,0.8110609,0.81589999,0.81582733,0.81566873,0.80914634,0.80462603,0.80662408,0.82278971,0.82207168,0.82084156,0.81221209,0.8126493,0.81205267,0.81455971,0.81488139,0.81546238,0.81938593,0.81899313,0.81674073,0.81427268,0.81669569,0.81537981,0.82497898,0.81831536,0.81652316,0.81423313,0.8140222,0.81469391,0.81287828,0.80991144,0.81123126,0.81198681,0.81303591,0.81031118,0.82285139,0.82321101,0.82367029,0.81702376,0.81831749,0.81793065,0.81941266,0.82228971,0.82008836
918.627,0.81148314,0.80986792,0.81095725,0.80840457,0.81008566,0.81085793,0.81202839,0.81105821,0.81064975,0.80376227,0.80438243,0.80405737,0.78809445,0.78726786,0.78786056,0.80232387,0.80124645,0.80184702,0.79766187,0.79919878,0.79886678,0.79769073,0.7992276,0.7985763,0.79531462,0.79549683,0.79547114,0.79562646,0.79528197,0.79593459,0.79441322,0.79399066,0.79280155,0.78980497,0.78917711,0.78892773,0.81107303,0.81219031,0.81097104,0.8092685,0.80875157,0.80746197,0.79766303,0.79676901,0.79768284,0.80193037,0.80211492,0.79848922,0.80094225,0.80092277,0.79923702,0.79464778,0.79478183,0.79572544,0.79801466,0.79805112,0.79868751,0.79710601,0.79465719,0.79657041,0.79659534,0.7963641,0.7959777,0.79528059,0.79381068,0.79452758,0.79187013,0.78946193,0.78970461,0.79389197,0.79412387,0.79367498,0.78743596,0.78309579,0.78495214,0.80027269,0.80019026,0.79841429,0.79079144,0.79102672,0.79069249,0.79294475,0.79356545,0.7938715,0.79745652,0.79751416,0.79500688,0.79271662,0.79471429,0.79359643,0.80340837,0.796639,0.79451196,0.79267331,0.79208014,0.79277073,0.79112289,0.78838222,0.78967577,0.7905011,0.79150363,0.78867507,0.80124486,0.80160366,0.80213284,0.79548744,0.79664358,0.79602773,0.79730538,0.80051585,0.7980515
922.487,0.78929443,0.78780349,0.78894342,0.78631218,0.78800734,0.78875496,0.78957262,0.7890078,0.7886399,0.78217689,0.78239484,0.78258973,0.76749645,0.76662656,0.76732335,0.78067132,0.77980096,0.78055078,0.77654877,0.77767427,0.77777734,0.77662788,0.77797297,0.7770736,0.7742418,0.7745081,0.77452375,0.77459206,0.77411639,0.77439414,0.77349883,0.77288803,0.77220553,0.76915422,0.76850433,0.76816408,0.78899479,0.79021339,0.78881765,0.78779893,0.78698557,0.78595954,0.7766095,0.77599211,0.77665015,0.78017025,0.78064446,0.77716597,0.77962989,0.77989448,0.77843359,0.773138,0.77369094,0.77463623,0.77665291,0.77684637,0.7775937,0.77597135,0.77385511,0.77527077,0.77547123,0.77529329,0.7748245,0.77396147,0.77289135,0.77343835,0.77104027,0.76877907,0.76913708,0.7730866,0.77316901,0.77313336,0.76643442,0.76200168,0.76416353,0.77869094,0.77869186,0.77673005,0.76986764,0.77050166,0.76987285,0.77193605,0.77261204,0.77279437,0.77624436,0.77607671,0.77361117,0.77184891,0.77383148,0.77259208,0.78236107,0.77572569,0.77357135,0.77176045,0.77147634,0.77164275,0.7700621,0.76777599,0.76891881,0.76962463,0.77044423,0.76778202,0.78028817,0.78065786,0.78131135,0.77480258,0.77566611,0.775172,0.77607355,0.77928122,0.77674658
926.347,0.76799487,0.76659653,0.76794599,0.76505341,0.76671735,0.76756572,0.76813199,0.76783573,0.76744435,0.76142631,0.7612297,0.76193659,0.74757479,0.74693675,0.74756201,0.75986415,0.75885427,0.75974137,0.7561172,0.75710139,0.75716377,0.75630378,0.75750921,0.75672242,0.75411881,0.75417201,0.75443647,0.75443146,0.7541132,0.75400311,0.75374062,0.7528895,0.75222171,0.74911539,0.74861009,0.74825705,0.76801188,0.76928618,0.76776033,0.76680194,0.76594584,0.76509773,0.75656887,0.75603842,0.75635845,0.75977786,0.76004805,0.75665838,0.75928463,0.75936103,0.7582283,0.75302419,0.75342623,0.75429525,0.75643306,0.75658526,0.75727034,0.75558398,0.7533523,0.75514363,0.75542556,0.75486846,0.75476382,0.75372906,0.75259094,0.75303065,0.75082462,0.7487267,0.74938721,0.7530568,0.75315654,0.75333134,0.74613134,0.74180921,0.74420075,0.75810199,0.75793025,0.75598126,0.74960928,0.75061361,0.74977483,0.75193242,0.75227671,0.75273415,0.75586127,0.75562034,0.75345053,0.75154226,0.75390108,0.75218752,0.76183391,0.75515906,0.75313576,0.7513448,0.75144586,0.75153633,0.74985107,0.74764974,0.7488909,0.74938351,0.7502725,0.74770591,0.76023536,0.76013251,0.76110294,0.75469903,0.75523127,0.75485832,0.75594942,0.75867967,0.75626461
930.207,0.74741565,0.74619103,0.7472782,0.74438706,0.74623238,0.74710571,0.74787065,0.74734156,0.74677411,0.74130778,0.74136287,0.74168193,0.7281931,0.72771468,0.72825755,0.73984516,0.73884824,0.73933732,0.7360423,0.73724645,0.73717151,0.73657152,0.73772643,0.73710503,0.7345112,0.73467859,0.73483864,0.7349655,0.73478565,0.73468651,0.7344926,0.73352744,0.73292494,0.72951378,0.729126,0.72888897,0.74764692,0.74889105,0.74760563,0.74640777,0.74578328,0.74484963,0.73699516,0.73648564,0.73666594,0.74000084,0.73994098,0.73682769,0.73961642,0.73941437,0.73810732,0.73380372,0.73387097,0.7345426,0.73688714,0.73702331,0.7375366,0.73574626,0.73374194,0.73522218,0.73584652,0.73509967,0.73505484,0.73407962,0.73310701,0.73338477,0.73123677,0.72933587,0.72983402,0.73326992,0.73376056,0.73369716,0.72696173,0.72257258,0.72507022,0.73831204,0.73823103,0.73640251,0.73038214,0.73109826,0.73046865,0.73240217,0.73296091,0.73301057,0.73606075,0.73596241,0.73387858,0.73162029,0.7341184,0.73221647,0.74187702,0.73514119,0.73346884,0.73192215,0.7315367,0.73229515,0.73047666,0.72819609,0.72951535,0.72987407,0.73094206,0.72847802,0.74082559,0.74068113,0.74127795,0.73463989,0.73587226,0.73514,0.73648608,0.73903788,0.73623818
934.067,0.72748286,0.72649159,0.72746738,0.72481897,0.72680628,0.72735269,0.72830577,0.72752672,0.72695212,0.72176424,0.7222232,0.72209279,0.70928808,0.7089489,0.70938851,0.72053872,0.71964408,0.71978968,0.71703627,0.71813681,0.71789327,0.71767015,0.7184519,0.71792389,0.71541063,0.71554692,0.71552087,0.71597059,0.71590601,0.71607851,0.71549266,0.71457215,0.71417649,0.71087781,0.71059041,0.70990255,0.72776364,0.72924391,0.72796691,0.72688616,0.72608462,0.72533059,0.71767451,0.71709464,0.71749037,0.72046075,0.72058754,0.71745789,0.72033938,0.71995414,0.71888242,0.71463229,0.71489999,0.71548254,0.7178125,0.7181191,0.71855207,0.71669871,0.71469168,0.71601952,0.71684672,0.71613774,0.71589489,0.71494523,0.71396293,0.71470236,0.71241073,0.71077502,0.71097658,0.71432676,0.71479176,0.71505576,0.7085795,0.70422055,0.70669629,0.71929912,0.71916191,0.71772653,0.71185984,0.71238547,0.71201226,0.71359307,0.71441813,0.71415908,0.71671861,0.71682338,0.71470489,0.71255875,0.71464792,0.71284878,0.72266548,0.71616847,0.71442405,0.71349051,0.71276326,0.71358806,0.71172452,0.70956892,0.7109517,0.71098949,0.71193774,0.70981519,0.72190924,0.72201737,0.72259342,0.71552618,0.71696529,0.71643936,0.71746322,0.71983248,0.71712429
